D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\1\0.pgm;1
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\1\1.pgm;1
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\1\10.pgm;1
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\1\2.pgm;1
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\1\3.pgm;1
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\1\4.pgm;1
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\1\5.pgm;1
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\1\6.pgm;1
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\1\7.pgm;1
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\1\8.pgm;1
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\1\9.pgm;1
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\10\0.pgm;10
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\10\1.pgm;10
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\10\10.pgm;10
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\10\2.pgm;10
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\10\3.pgm;10
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\10\4.pgm;10
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\10\5.pgm;10
D:\MyThings\Learning\Code_and_Project\OpenCV_Projects\FaceRecognizerDemo\data\10\6.pgm;10
